year,country,amount,value
2019,オマーン,18,209
2019,アラブ首長国連邦,5906,33291
2019,タジキスタン,1707,7599
2019,ドイツ,49,367
2019,イタリア,31,201
2019,ロシア,95,709
2019,アメリカ合衆国,5441,26680
2019,ブラジル,41,249
2019,オーストラリア,414,2347
2019,ニュージーランド,40,271
2019,台湾,7251,34687
2019,香港,52321,235386
2019,ベトナム,5668,31938
2019,タイ,46403,200693
2019,シンガポール,9816,28926
2019,マレーシア,2306,10266
2019,フィリピン,114,734
2019,インドネシア,666,2715
2019,カンボジア,23007,121625
2019,ラオス,96,840
2019,ミャンマー,458,1629
2019,マカオ,8986,44817
2019,カタール,58,523
2019,アラブ首長国連邦,2278,9964
2019,タジキスタン,3487,15593
2019,ロシア,15,226
2019,アメリカ合衆国,413,1487
2019,オーストラリア,19426,9005
2019,台湾,2569,5633
2019,香港,7520,34781
2019,ベトナム,1787,13048
2019,タイ,5693,23133
2019,シンガポール,2166,8368
2019,マレーシア,344,1655
2019,フィリピン,16411,27177
2019,インドネシア,65,301
2019,カンボジア,75,459
2019,ラオス,22200,126702
2019,ミャンマー,26,379
2019,マカオ,283,2958
2019,アラブ首長国連邦,960,6875
2019,アメリカ合衆国,1650,17526
2019,ブラジル,341,2662
2019,オーストラリア,699,3178
2019,グアム（米）,259,2444
2020,香港,693,2315
2020,台湾,1268,7465
2020,マレーシア,186,1478
2020,ベルギー,330,2825
2020,アメリカ合衆国,2887,21566
2020,台湾,218023,1514318
2020,香港,208865,1391571
2020,ベトナム,6223,61437
2020,タイ,9847,72697
2020,シンガポール,122919,940172
2020,マレーシア,14325,113025
2020,フィリピン,2027,23581
2020,インドネシア,2493,23373
2020,マカオ,8524,78424
2020,カタール,73,1326
2020,オマーン,83,1714
2020,アラブ首長国連邦,855,20259
2020,デンマーク,1440,15294
2020,英国,25590,218620
2020,オランダ,46717,479193
2020,ベルギー,38844,342726
2020,フランス,4559,47626
2020,モナコ,102,1544
2020,ドイツ,11287,105699
2020,スイス,3750,40107
2020,スペイン,477,4973
2020,イタリア,5554,57402
2020,ポーランド,578,6080
2020,ロシア,4490,53605
2020,ギリシャ,295,2704
2020,カナダ,34504,303576
2020,アメリカ合衆国,477302,4053511
2020,メキシコ,6430,64768
2020,オーストラリア,16546,165414
2020,ニュージーランド,326,3049
2020,台湾,385445,1767611
2020,香港,258512,1158522
2020,ベトナム,4572,24737
2020,タイ,15020,66218
2020,シンガポール,57536,227265
2020,マレーシア,39085,209188
2020,フィリピン,1976,13905
2020,インドネシア,2233,14730
2020,マカオ,3785,25307
2020,カタール,53,524
2020,アラブ首長国連邦,687,7842
2020,デンマーク,137,690
2020,英国,1729,9868
2020,オランダ,3766,25439
2020,ベルギー,2260,12662
2020,フランス,279,2023
2020,ドイツ,1169,6319
2020,スイス,34,215
2020,スペイン,77,507
2020,イタリア,2550,17573
2020,ロシア,1660,11487
2020,カナダ,2645,15809
2020,アメリカ合衆国,52026,271832
2020,メキシコ,1224,6706
2020,オーストラリア,24236,154295
2020,台湾,176817,746011
2020,香港,113719,438194
2020,ベトナム,1366,8301
2020,タイ,6953,26650
2020,シンガポール,33198,113276
2020,マレーシア,19814,92178
2020,フィリピン,1083,7153
2020,インドネシア,282,1444
2020,マカオ,7065,31667
2020,ジョージア,16,217
2020,英国,584,3681
2020,オランダ,2691,14636
2020,ベルギー,2368,12314
2020,ドイツ,255,1037
2020,イタリア,799,3315
2020,ポーランド,75,348
2020,ロシア,149,1017
2020,カナダ,618,2307
2020,アメリカ合衆国,18930,86632
2020,メキシコ,300,1219
2020,オーストラリア,4420,25994
2020,台湾,25112,109584
2020,香港,14698,57752
2020,タイ,1395,6305
2020,シンガポール,2880,9896
2020,マレーシア,4132,19686
2020,フィリピン,121,678
2020,マカオ,232,1641
2020,フランス,231,1858
2020,イタリア,67,643
2020,カナダ,1814,8836
2020,アメリカ合衆国,11076,45127
2020,オーストラリア,137,1061
2020,台湾,59,402
2020,台湾,32860,225426
2020,香港,195069,1178048
2020,ベトナム,33532,293877
2020,タイ,108814,777949
2020,シンガポール,52006,329482
2020,マレーシア,3653,21969
2020,フィリピン,8760,74606
2020,インドネシア,6011,53583
2020,カンボジア,1085264,8027471
2020,ラオス,28662,124781
2020,ミャンマー,1445,6743
2020,バングラデシュ,8561,48083
2020,マカオ,29423,234786
2020,バーレーン,231,5145
2020,カタール,1391,18788
2020,アラブ首長国連邦,12320,147401
2020,タジキスタン,46499,216506
2020,オランダ,639,5374
2020,ドイツ,562,5319
2020,スイス,88,507
2020,ロシア,1598,17044
2020,カナダ,900,8774
2020,アメリカ合衆国,48121,407463
2020,ブラジル,4659,37032
2020,オーストラリア,98,1253
2020,ニュージーランド,7130,56198
2020,台湾,46739,203145
2020,香港,283836,1178980
2020,ベトナム,12616,53633
2020,タイ,42636,190023
2020,シンガポール,62637,273688
2020,マレーシア,13115,62948
2020,フィリピン,1173,6131
2020,インドネシア,5478,46693
2020,カンボジア,183146,887316
2020,ラオス,70,273
2020,ミャンマー,2312,9773
2020,マカオ,4674,24611
2020,カタール,282,3482
2020,アラブ首長国連邦,8176,56046
2020,タジキスタン,13340,38155
2020,フランス,33,276
2020,ドイツ,342,2976
2020,ロシア,293,2187
